Time(s), Voltage (V)
0.0, 0.05157509
0.002, 0.05318681
0.004, 0.1515018
0.006, 0.2401465
0.008000001, 0.3199267
0.01, 0.3940659
0.012, 0.4633699
0.014, 0.5286447
0.016, 0.5931135
0.018, 0.6535531
0.02, 0.7107692
0.022, 0.7671795
0.024, 0.8211721
0.026, 0.8743589
0.028, 0.9243223
0.03, 0.9750916
0.032, 1.021832
0.034, 1.068571
0.036, 1.1137
0.038, 1.158828
0.04, 1.201538
0.042, 1.244249
0.044, 1.285348
0.046, 1.324029
0.048, 1.361099
0.05, 1.400586
0.052, 1.439267
0.054, 1.473919
0.056, 1.510183
0.058, 1.545641
0.06, 1.577875
0.062, 1.608498
0.06400001, 1.642344
0.06599999, 1.673773
0.06800001, 1.704396
0.07, 1.735018
0.072, 1.765641
0.074, 1.795458
0.076, 1.82044
0.078, 1.847839
0.08, 1.880073
0.08200001, 1.905055
0.084, 1.930842
0.086, 1.955824
0.088, 1.979194
0.09, 2.004176
0.092, 2.02674
0.094, 2.049304
0.096, 2.07348
0.09799999, 2.094432
0.1, 2.116996
0.102, 2.138755
0.104, 2.157289
0.106, 2.178242
0.108, 2.199194
0.11, 2.216923
0.112, 2.236264
0.114, 2.255604
0.116, 2.272527
0.118, 2.291062
0.12, 2.309597
0.122, 2.325714
0.124, 2.341831
0.126, 2.358755
0.128, 2.37326
0.13, 2.390989
0.132, 2.405494
0.134, 2.42
0.136, 2.4337
0.138, 2.449011
0.14, 2.461905
0.142, 2.474798
0.144, 2.49011
0.146, 2.503004
0.148, 2.51348
0.15, 2.527179
0.152, 2.539267
0.154, 2.55619
0.156, 2.561831
0.158, 2.573113
0.16, 2.585202
0.162, 2.596483
0.164, 2.60696
0.166, 2.614213
0.168, 2.625494
0.17, 2.635971
0.172, 2.646447
0.174, 2.654505
0.176, 2.660952
0.178, 2.671428
0.18, 2.681099
0.182, 2.689963
0.184, 2.699634
0.186, 2.705275
0.188, 2.714139
0.19, 2.71978
0.192, 2.72945
0.194, 2.735897
0.196, 2.742344
0.198, 2.748791
0.2, 2.757656
0.202, 2.761685
0.204, 2.770549
0.206, 2.777802
0.208, 2.783443
0.21, 2.788278
0.212, 2.794725
0.214, 2.79956
0.216, 2.804396
0.218, 2.810037
0.22, 2.814872
0.222, 2.82293
0.224, 2.826154
0.226, 2.832601
0.228, 2.83663
0.23, 2.839853
0.232, 2.8463
0.234, 2.848718
0.236, 2.856776
0.238, 2.864029
0.24, 2.863223
0.242, 2.868058
0.244, 2.86967
0.246, 2.874506
0.248, 2.877729
0.25, 2.880952
0.252, 2.885787
0.254, 2.890623
0.256, 2.89304
0.258, 2.894652
0.26, 2.896264
0.262, 2.901905
0.264, 2.905128
0.266, 2.907546
0.268, 2.910769
0.27, 2.913187
0.272, 2.917216
0.274, 2.918022
0.276, 2.921245
0.278, 2.924469
0.28, 2.926081
0.282, 2.929304
0.284, 2.930916
0.286, 2.934139
0.288, 2.934945
0.29, 2.938169
0.292, 2.938974
0.294, 2.941392
0.296, 2.944615
0.298, 2.945421
0.3, 2.947839
0.302, 2.948645
0.304, 2.951868
0.306, 2.955091
0.308, 2.955091
0.31, 2.957509
0.312, 2.957509
0.314, 2.959121
0.316, 2.964762
0.318, 2.961538
0.32, 2.966374
0.322, 2.963956
0.324, 2.967179
0.326, 2.967179
0.328, 2.969597
0.33, 2.969597
0.332, 2.972015
0.334, 2.973626
0.336, 2.97685
0.338, 2.976044
0.34, 2.977656
0.342, 2.977656
0.344, 2.979267
0.346, 2.980073
0.348, 2.983297
0.35, 2.982491
0.352, 2.984908
0.354, 2.984102
0.356, 2.984908
0.358, 2.98652
0.36, 2.988938
0.362, 2.988132
0.364, 2.989743
0.366, 2.989743
0.368, 2.989743
0.37, 2.990549
0.372, 2.990549
0.374, 2.990549
0.376, 2.994579
0.378, 2.993773
0.38, 2.993773
0.382, 2.993773
0.384, 2.995384
0.386, 2.99619
0.388, 2.996996
0.39, 2.998608
0.392, 3.00022
0.394, 3.002637
0.396, 2.999414
0.398, 2.998608
0.4, 2.997802
0.402, 3.002637
0.404, 3.00022
0.406, 3.002637
0.408, 3.003443
0.41, 3.003443
0.412, 3.003443
0.414, 3.002637
0.416, 3.003443
0.418, 3.003443
0.42, 3.003443
0.422, 3.006667
0.424, 3.005861
0.426, 3.006667
0.428, 3.006667
0.43, 3.006667
0.432, 3.008278
0.434, 3.005861
0.436, 3.008278
0.438, 3.007473
0.44, 3.009084
0.442, 3.009084
0.444, 3.009084
0.446, 3.008278
0.448, 3.00989
0.45, 3.008278
0.452, 3.00989
0.454, 3.010696
0.456, 3.011502
0.458, 3.012308
0.46, 3.00989
0.462, 3.012308
0.464, 3.00989
0.466, 3.012308
0.468, 3.011502
0.47, 3.013113
0.472, 3.016337
0.474, 3.013113
0.476, 3.013113
0.478, 3.00989
0.48, 3.013919
0.482, 3.014725
0.484, 3.014725
0.486, 3.016337
0.488, 3.015531
0.49, 3.015531
0.492, 3.016337
0.494, 3.015531
0.496, 3.013113
0.498, 3.015531
0.5, 3.017143
0.502, 3.016337
0.504, 3.017143
0.506, 3.017949
0.508, 3.015531
0.51, 3.017143
0.512, 3.016337
0.514, 3.016337
0.516, 3.016337
0.518, 3.017143
0.52, 3.016337
0.522, 3.017949
0.524, 3.018754
0.526, 3.017949
0.528, 3.018754
0.53, 3.017949
0.532, 3.018754
0.534, 3.018754
0.536, 3.018754
0.538, 3.018754
0.54, 3.01956
0.542, 3.017949
0.5440001, 3.021172
0.546, 3.017143
0.548, 3.01956
0.55, 3.020366
0.552, 3.017949
0.554, 3.020366
0.556, 3.018754
0.558, 3.021172
0.56, 3.01956
0.562, 3.018754
0.564, 3.018754
0.566, 3.01956
0.568, 3.021172
0.57, 3.01956
0.572, 3.020366
0.574, 3.018754
0.576, 3.018754
0.578, 3.020366
0.58, 3.018754
0.582, 3.021978
0.584, 3.021172
0.586, 3.021172
0.588, 3.020366
0.59, 3.021172
0.592, 3.020366
0.594, 3.020366
0.596, 3.021172
0.598, 3.021978
